      cz           mu          sigma_mu
      4200.00      34.0230     0.254000
      4200.00      33.8600     0.260000
      4200.00      34.1870     0.257000
      4200.00      33.9260     0.253000
      4200.00      34.0090     0.251000
      4200.00      34.2940     0.253000
      4200.00      34.0780     0.254000
      4200.00      34.0110     0.257000
      4500.00      34.2770     0.242000
      4500.00      34.1720     0.244000
      4500.00      34.1760     0.252000
      4500.00      34.2250     0.248000
      4500.00      34.1290     0.242000
      4500.00      34.4530     0.300000
      4500.00      34.5560     0.249000
      4500.00      34.6360     0.244000
      4500.00      34.1680     0.258000
      4800.00      34.1790     0.236000
      4800.00      34.6830     0.248000
      4800.00      34.2320     0.242000
      4800.00      34.1540     0.235000
      4800.00      34.3760     0.238000
      4800.00      34.2840     0.267000
      4800.00      34.5740     0.245000
      5100.00      34.1170     0.237000
      5100.00      34.5120     0.240000
      5100.00      34.3470     0.243000
      5100.00      34.4040     0.230000
      5100.00      35.0810     0.237000
      5100.00      34.7850     0.243000
      5100.00      34.5280     0.228000
      5400.00      34.8150     0.240000
      5400.00      34.5050     0.225000
      5400.00      34.5410     0.223000
      5700.00      34.6910     0.230000
      5700.00      35.1020     0.224000
      5700.00      34.9100     0.227000
      5700.00      34.5420     0.242000
      5700.00      34.8930     0.220000
      6000.00      35.1900     0.214000
      6000.00      34.6910     0.214000
      6000.00      34.8880     0.227000
      6300.00      35.0280     0.219000
      6300.00      34.7960     0.209000
      6300.00      35.0620     0.208000
      6300.00      34.9140     0.214000
      6300.00      34.9510     0.214000
      6300.00      34.7320     0.213000
      6600.00      35.0430     0.210000
      6600.00      35.0150     0.220000
      6600.00      35.2040     0.394000
      6600.00      35.0380     0.223000
      6600.00      35.0980     0.209000
      6600.00      35.0170     0.213000
      6900.00      35.2770     0.206000
      6900.00      35.2410     0.204000
      6900.00      35.3670     0.206000
      6900.00      35.0280     0.202000
      6900.00      35.7770     0.212000
      6900.00      35.2680     0.197000
      7200.00      35.1930     0.201000
      7200.00      35.3170     0.207000
      7200.00      35.2760     0.205000
      7200.00      35.3510     0.198000
      7200.00      35.1300     0.207000
      7200.00      35.3830     0.212000
      7500.00      35.1430     0.209000
      7500.00      35.0860     0.198000
      7500.00      35.4240     0.210000
      7500.00      35.1780     0.198000
      7800.00      35.5140     0.194000
      7800.00      35.5240     0.202000
      7800.00      35.0750     0.195000
      7800.00      35.1210     0.201000
      7800.00      35.5970     0.199000
      7800.00      35.4370     0.194000
      8100.00      35.4360     0.194000
      8100.00      35.4770     0.192000
      8400.00      35.2780     0.192000
      8400.00      35.6550     0.195000
      8400.00      35.5530     0.217000
      8400.00      35.7930     0.200000
      8400.00      35.6680     0.189000
      8400.00      35.8580     0.200000
      8700.00      35.1700     0.260000
      9000.00      36.1510     0.191000
      9000.00      35.8400     0.186000
      9000.00      35.8790     0.192000
      9000.00      35.7640     0.188000
      9000.00      35.7120     0.187000
      9300.00      35.6770     0.194000
      9300.00      35.7980     0.203000
      9300.00      35.7780     0.206000
      9300.00      35.9140     0.193000
      9300.00      36.0320     0.201000
      9600.00      35.7980     0.187000
      9600.00      35.7730     0.190000
      9600.00      35.8240     0.184000
      9600.00      35.9120     0.195000
      9600.00      36.0440     0.186000
      9600.00      35.8570     0.185000
      9600.00      35.9860     0.184000
      9900.00      36.1690     0.185000
      9900.00      36.0620     0.182000
      9900.00      35.9930     0.196000
      9900.00      35.9440     0.182000
      9900.00      35.6070     0.203000
      9900.00      36.2250     0.182000
      10200.0      36.0340     0.188000
      10200.0      35.8450     0.207000
      10200.0      36.2040     0.198000
      10200.0      36.1150     0.181000
      10200.0      35.9850     0.213000
      10200.0      35.9030     0.187000
      10500.0      36.1250     0.239000
      10500.0      35.9610     0.183000
      10800.0      36.0950     0.180000
      10800.0      36.3200     0.200000
      10800.0      35.8430     0.187000
      10800.0      36.3320     0.182000
      10800.0      36.0710     0.181000
      10800.0      36.1260     0.189000
      11100.0      36.4210     0.220000
      11400.0      36.5100     0.194000
      11400.0      36.1630     0.177000
      11400.0      36.3800     0.245000
      11700.0      36.2150     0.178000
      11700.0      36.3280     0.221000
      11700.0      36.3950     0.181000
      12000.0      36.5670     0.179000
      12300.0      36.4920     0.183000
      12600.0      36.4620     0.195000
      12600.0      36.5520     0.196000
      12900.0      36.4970     0.202000
      13200.0      36.7400     0.265000
      13500.0      36.7710     0.181000
      13500.0      36.7310     0.173000
      13800.0      36.4290     0.194000
      14700.0      36.8900     0.179000
      14700.0      36.5160     0.171000
      14700.0      36.8910     0.190000
      15000.0      36.8390     0.179000
      15000.0      36.7550     0.176000
      15600.0      36.9930     0.172000
      16200.0      36.7690     0.184000
      16200.0      36.9560     0.182000
      17100.0      37.3280     0.177000
      17400.0      37.3700     0.281000
      17400.0      37.1160     0.179000
      17400.0      37.2430     0.174000
      17700.0      37.2570     0.171000
      18900.0      37.6100     0.174000
      19200.0      37.2380     0.182000
      19500.0      37.4300     0.173000
      20400.0      37.8680     0.182000
      20700.0      37.5950     0.198000
      20700.0      37.6300     0.180000
      21300.0      37.5630     0.173000
      22500.0      38.2520     0.190000
      22500.0      37.7190     0.178000
      22500.0      37.5250     0.217000
      23700.0      37.6520     0.169000
      25200.0      38.1310     0.229000
      26400.0      38.2750     0.211000
